metric,replicate,t_window_start_ns,t_window_end_ns,n_points,mean,std
rmsd_backbone,rep1,150,200,5000,0.26950282,0.012357812
rmsd_backbone,rep2,150,200,5000,0.29478068,0.018174458
rmsd_backbone,rep3,150,200,5000,0.32110439,0.026378745
rg,rep1,150,200,5001,2.9943735,0.0076468329
rg,rep2,150,200,5001,2.9988962,0.010545994
rg,rep3,150,200,5001,3.015676,0.010991337
mindist_pl,rep1,150,200,5001,0.20887496,0.011155897
mindist_pl,rep2,150,200,5001,0.21360946,0.017296098
mindist_pl,rep3,150,200,5001,0.18797135,0.018504211
hbond_num,rep1,150,200,5001,0.048390322,0.21554097
hbond_num,rep2,150,200,5001,0.32513497,0.57538344
hbond_num,rep3,150,200,5001,0.80623875,0.39578917
